name,F,1880,942
name,F,1881,938
name,F,1882,1028
name,F,1883,1054
name,F,1884,1172
name,F,1885,1197
name,F,1886,1282
name,F,1887,1306
name,F,1888,1474
name,F,1889,1479
name,F,1890,1534
name,F,1891,1533
name,F,1892,1661
name,F,1893,1652
name,F,1894,1702
name,F,1895,1808
name,F,1896,1825
name,F,1897,1799
name,F,1898,1975
name,F,1899,1842
name,F,1900,2226
name,F,1901,1943
name,F,1902,2042
name,F,1903,2083
name,F,1904,2166
name,F,1905,2235
name,F,1906,2220
name,F,1907,2399
name,F,1908,2434
name,F,1909,2548
name,F,1910,2789
name,F,1911,2868
name,F,1912,3443
name,F,1913,3705
name,F,1914,4204
name,F,1915,4969
name,F,1916,5163
name,F,1917,5312
name,F,1918,5586
name,F,1919,5561
name,F,1920,5764
name,F,1921,5870
name,F,1922,5787
name,F,1923,5740
name,F,1924,5897
name,F,1925,5774
name,F,1926,5619
name,F,1927,5606
name,F,1928,5435
name,F,1929,5275
name,F,1930,5249
name,F,1931,4970
name,F,1932,5100
name,F,1933,4855
name,F,1934,4972
name,F,1935,4888
name,F,1936,4853
name,F,1937,4924
name,F,1938,4992
name,F,1939,4952
name,F,1940,5022
name,F,1941,5083
name,F,1942,5376
name,F,1943,5366
name,F,1944,5246
name,F,1945,5247
name,F,1946,5686
name,F,1947,6103
name,F,1948,6045
name,F,1949,6056
name,F,1950,6105
name,F,1951,6213
name,F,1952,6388
name,F,1953,6490
name,F,1954,6609
name,F,1955,6719
name,F,1956,6888
name,F,1957,7012
name,F,1958,7023
name,F,1959,7196
name,F,1960,7330
name,F,1961,7522
name,F,1962,7577
name,F,1963,7661
name,F,1964,7801
name,F,1965,7534
name,F,1966,7614
name,F,1967,7845
name,F,1968,8192
name,F,1969,8704
name,F,1970,9342
name,F,1971,9623
name,F,1972,9655
name,F,1973,9800
name,F,1974,10237
name,F,1975,10598
name,F,1976,10902
name,F,1977,11316
name,F,1978,11462
name,F,1979,11950
name,F,1980,12152
name,F,1981,12178
name,F,1982,12316
name,F,1983,12057
name,F,1984,12164
name,F,1985,12497
name,F,1986,12811
name,F,1987,13247
name,F,1988,13863
name,F,1989,14534
name,F,1990,15227
name,F,1991,15461
name,F,1992,15603
name,F,1993,15792
name,F,1994,15745
name,F,1995,15751
name,F,1996,15887
name,F,1997,16154
name,F,1998,16590
name,F,1999,16935
name,F,2000,17649
name,F,2001,17962
name,F,2002,18073
name,F,2003,18418
name,F,2004,18811
name,F,2005,19164
name,F,2006,20028
name,F,2007,20520
name,F,2008,20416
name,F,2009,20123
name,F,2010,19698
name,M,1880,1058
name,M,1881,997
name,M,1882,1099
name,M,1883,1030
name,M,1884,1125
name,M,1885,1097
name,M,1886,1110
name,M,1887,1067
name,M,1888,1177
name,M,1889,1111
name,M,1890,1161
name,M,1891,1127
name,M,1892,1260
name,M,1893,1179
name,M,1894,1239
name,M,1895,1241
name,M,1896,1266
name,M,1897,1229
name,M,1898,1290
name,M,1899,1200
name,M,1900,1507
name,M,1901,1210
name,M,1902,1320
name,M,1903,1306
name,M,1904,1395
name,M,1905,1421
name,M,1906,1413
name,M,1907,1549
name,M,1908,1584
name,M,1909,1678
name,M,1910,1839
name,M,1911,2000
name,M,1912,2906
name,M,1913,3260
name,M,1914,3760
name,M,1915,4392
name,M,1916,4533
name,M,1917,4602
name,M,1918,4816
name,M,1919,4808
name,M,1920,4992
name,M,1921,4986
name,M,1922,4972
name,M,1923,4911
name,M,1924,4965
name,M,1925,4869
name,M,1926,4841
name,M,1927,4801
name,M,1928,4725
name,M,1929,4535
name,M,1930,4537
name,M,1931,4308
name,M,1932,4281
name,M,1933,4152
name,M,1934,4206
name,M,1935,4143
name,M,1936,4038
name,M,1937,4017
name,M,1938,4034
name,M,1939,3968
name,M,1940,3938
name,M,1941,4000
name,M,1942,4045
name,M,1943,4043
name,M,1944,3907
name,M,1945,3786
name,M,1946,4013
name,M,1947,4256
name,M,1948,4198
name,M,1949,4193
name,M,1950,4195
name,M,1951,4239
name,M,1952,4260
name,M,1953,4338
name,M,1954,4353
name,M,1955,4392
name,M,1956,4454
name,M,1957,4555
name,M,1958,4494
name,M,1959,4573
name,M,1960,4588
name,M,1961,4647
name,M,1962,4621
name,M,1963,4618
name,M,1964,4586
name,M,1965,4420
name,M,1966,4532
name,M,1967,4550
name,M,1968,4736
name,M,1969,5037
name,M,1970,5425
name,M,1971,5655
name,M,1972,5754
name,M,1973,5871
name,M,1974,6002
name,M,1975,6324
name,M,1976,6486
name,M,1977,6847
name,M,1978,6755
name,M,1979,7059
name,M,1980,7272
name,M,1981,7274
name,M,1982,7352
name,M,1983,7328
name,M,1984,7323
name,M,1985,7575
name,M,1986,7817
name,M,1987,8134
name,M,1988,8477
name,M,1989,9226
name,M,1990,9482
name,M,1991,9641
name,M,1992,9806
name,M,1993,10154
name,M,1994,10242
name,M,1995,10321
name,M,1996,10529
name,M,1997,10807
name,M,1998,11296
name,M,1999,11605
name,M,2000,12109
name,M,2001,12289
name,M,2002,12474
name,M,2003,12744
name,M,2004,13207
name,M,2005,13344
name,M,2006,14011
name,M,2007,14363
name,M,2008,14590
name,M,2009,14479
name,M,2010,14140
